name,ticker,logo,decimals,popular,address_chain_42161,address_chain_421614,address_chain_31338,address_chain_31339
Tether USDt,USDT,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,6,TRUE,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,,,
USDC,USDC,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,6,TRUE,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,,,
Wrapped Bitcoin,WBTC,https://s2.coinmarketcap.com/static/img/coins/64x64/3717.png,8,TRUE,0x2f2a2543B76A4166549F7aaB2e75Bef0aefC5B0f,,,
Chainlink,LINK,https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png,18,,0xf97f4df75117a78c1A5a0DBb814Af92458539FB4,,,
Uniswap,UNI,https://s2.coinmarketcap.com/static/img/coins/64x64/7083.png,18,,0xFa7F8980b0f1E64A2062791cc3b0871572f1F7f0,,,
Dai,DAI,https://s2.coinmarketcap.com/static/img/coins/64x64/4943.png,18,,0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1,,,
Pepe,PEPE,https://s2.coinmarketcap.com/static/img/coins/64x64/24478.png,18,,0x25d887ce7a35172c62febfd67a1856f20faebb00,,,
Arbitrum,ARB,https://s2.coinmarketcap.com/static/img/coins/64x64/11841.png,18,,0x912CE59144191C1204E64559FE8253a0e49E6548,,,
The Graph,GRT,https://s2.coinmarketcap.com/static/img/coins/64x64/6719.png,18,,0x9623063377AD1B27544C965cCd7342f7EA7e88C7,,,
Lido DAO,LDO,https://s2.coinmarketcap.com/static/img/coins/64x64/8000.png,18,,0x13Ad51ed4F1B7e9Dc168d8a00cB3f4dDD85EfA60,,,
Axelar,AXL,https://s2.coinmarketcap.com/static/img/coins/64x64/17799.png,6,,0x23ee2343B892b1BB63503a4FAbc840E0e2C6810f,,,
USDD,USDD,https://s2.coinmarketcap.com/static/img/coins/64x64/19891.png,18,,0x680447595e8b7b3aa1b43beb9f6098c79ac2ab3f,,,
Frax,FRAX,https://s2.coinmarketcap.com/static/img/coins/64x64/6952.png,18,,0x17FC002b466eEc40DaE837Fc4bE5c67993ddBd6F,,,
WOO,WOO,https://s2.coinmarketcap.com/static/img/coins/64x64/7501.png,18,,0xcafcd85d8ca7ad1e1c6f82f651fa15e33aefd07b,,,
Curve DAO Token,CRV,https://s2.coinmarketcap.com/static/img/coins/64x64/6538.png,18,,0x11cDb42B0EB46D95f990BeDD4695A6e3fA034978,,,
TrueUSD,TUSD,https://s2.coinmarketcap.com/static/img/coins/64x64/2563.png,18,,0x4D15a3A2286D883AF0AA1B3f21367843FAc63E07,,,
Pendle,PENDLE,https://s2.coinmarketcap.com/static/img/coins/64x64/9481.png,18,,0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8,,,
Compound,COMP,https://s2.coinmarketcap.com/static/img/coins/64x64/5692.png,18,,0x354a6da3fcde098f8389cad84b0182725c6c91de,,,
GMX,GMX,https://s2.coinmarketcap.com/static/img/coins/64x64/11857.png,18,,0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a,,,
yearn.finance,YFI,https://s2.coinmarketcap.com/static/img/coins/64x64/5864.png,18,,0x82e3A8F066a6989666b031d916c43672085b1582,,,
SushiSwap,SUSHI,https://s2.coinmarketcap.com/static/img/coins/64x64/6758.png,18,,0xd4d42f0b6def4ce0383636770ef773390d85c61a,,,
Balancer,BAL,https://s2.coinmarketcap.com/static/img/coins/64x64/5728.png,18,,0x040d1edc9569d4bab2d15287dc5a4f10f56a56b8,,,
JOE,JOE,https://s2.coinmarketcap.com/static/img/coins/64x64/11396.png,18,,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,,,
DODO,DODO,https://s2.coinmarketcap.com/static/img/coins/64x64/7224.png,18,,0x69Eb4FA4a2fbd498C257C57Ea8b7655a2559A581,,,
Gains Network,GNS,https://s2.coinmarketcap.com/static/img/coins/64x64/13663.png,18,,0x18c11FD286C5EC11c3b683Caa813B77f5163A122,,,
Kyber Network Crystal v2,KNC,https://s2.coinmarketcap.com/static/img/coins/64x64/9444.png,18,,0xe4dddfe67e7164b0fe14e218d80dc4c08edc01cb,,,
Stargate Finance,STG,https://s2.coinmarketcap.com/static/img/coins/64x64/18934.png,18,,0x6694340fc020c5e6b96567843da2df01b2ce1eb6,,,
Radiant Capital,RDNT,https://s2.coinmarketcap.com/static/img/coins/64x64/21106.png,18,,0x3082CC23568eA640225c2467653dB90e9250AaA0,,,
Spell Token,SPELL,https://s2.coinmarketcap.com/static/img/coins/64x64/11289.png,18,,0x3e6648c5a70a150a88bce65f4ad4d506fe15d2af,,,
Wrapped Ether,WETH,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,18,TRUE,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,,,
Wrapped Lido Staked ETH,wstETH,https://s2.coinmarketcap.com/static/img/coins/64x64/12409.png,18,,0x5979d7b546e38e414f7e9822514be443a4800529,,,
